DimensionMemberCode,DisplayString,PARENT,REGION_TYPE
1,World,0,global
2,Africa (2),1,region
5,South America,419,intermediate region
9,Oceania (9),1,region
11,Western Africa,202,region
13,Central America,419,intermediate region
14,Eastern Africa,202,intermediate region
15,Northern Africa,2,sub-region
17,Middle Africa,202,intermediate region
18,Southern Africa,202,intermediate region
19,Americas,1,region
21,Northern America (21),19,sub-region
29,Caribbean,419,intermediate region
30,Eastern Asia,142,sub-region
34,Southern Asia,142,sub-region
35,South-Eastern Asia,142,sub-region
39,Southern Europe,150,sub-region
53,Australia and New Zealand,9,sub-region
54,Melanesia,9,sub-region
57,Micronesia,9,sub-region
61,Polynesia,9,other grouping
62,Central Asia and Southern Asia,1,sub-region
64,South-Central Asia,1,sub-region
135,Caucasus and Central Asia (MDG),,mdg grouping
142,Asia (142),150,region
143,Central Asia,142,sub-region
145,Western Asia,142,sub-region
150,Europe (150),1,region
151,Eastern Europe,150,sub-region
154,Northern Europe,150,sub-region
155,Western Europe,150,sub-region
197,Less Developed Regions,1,other grouping
198,Least Developed Regions,1,other grouping
199,Least Developed Countries (LDCs),1,other grouping
202,Sub-Saharan Africa,2,intermediate region
419,Latin America and the Caribbean,19,sub-region
432,Landlocked developing countries (LLDCs),1,other grouping
485,Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia),0,mdg grouping
513,Northern America and Europe,1,
514,Developed regions (MDG),,mdg grouping
515,Developing regions (MDG),,mdg grouping
518,Eastern Asia (MDG),,mdg grouping
543,Oceania (exc. Australia and New Zealand),1,sub-region
722,Small island developing States (SIDS),1,other grouping
738,Sub-Saharan Africa (inc. Sudan),0,mdg grouping
746,Northern Africa (exc. Sudan),0,mdg grouping
747,Northern Africa and Western Asia,1,sub-region
753,Eastern Asia and South-eastern Asia,1,
777,Europe, Northern America, Australia and New Zealand,1,sub-region
830,Channel Islands,154,intermediate region
0,Global,,
